Datetime,Temp(degC),Humidity(rH)
2024-08-15 15:01:14,22.60,14.62
2024-08-15 15:01:16,22.61,14.66
2024-08-15 15:01:18,22.60,14.69
2024-08-15 15:01:20,22.61,14.68
2024-08-15 15:01:22,22.61,14.71
2024-08-15 15:01:25,22.59,14.70
2024-08-15 15:01:27,22.60,14.62
2024-08-15 15:01:29,22.60,14.39
2024-08-15 15:01:31,22.61,14.14
2024-08-15 15:01:33,22.60,13.95
2024-08-15 15:01:35,22.61,13.75
2024-08-15 15:01:37,22.61,13.63
2024-08-15 15:01:39,22.62,13.55
2024-08-15 15:01:41,22.61,13.43
2024-08-15 15:01:43,22.62,13.21
2024-08-15 15:01:45,22.62,13.05
2024-08-15 15:01:47,22.63,12.89
2024-08-15 15:01:49,22.61,12.81
2024-08-15 15:01:51,22.62,12.68
2024-08-15 15:01:53,22.62,12.62
2024-08-15 15:01:55,22.61,12.54
2024-08-15 15:01:57,22.62,12.42
2024-08-15 15:02:00,22.63,12.29
2024-08-15 15:02:02,22.62,12.21
2024-08-15 15:02:04,22.62,12.11
2024-08-15 15:02:06,22.62,12.09
2024-08-15 15:02:08,22.63,11.99
2024-08-15 15:02:10,22.62,11.97
2024-08-15 15:02:12,22.62,11.96
2024-08-15 15:02:14,22.63,12.07
2024-08-15 15:02:16,22.62,12.22
2024-08-15 15:02:18,22.63,12.38
2024-08-15 15:02:20,22.63,12.55
2024-08-15 15:02:22,22.63,12.70
2024-08-15 15:02:24,22.63,12.81
2024-08-15 15:02:26,22.64,12.87
2024-08-15 15:02:28,22.62,12.94
2024-08-15 15:02:30,22.63,12.94
2024-08-15 15:02:32,22.63,12.99
2024-08-15 15:02:35,22.63,12.99
2024-08-15 15:02:37,22.63,12.97
2024-08-15 15:02:39,22.62,12.88
2024-08-15 15:02:41,22.64,12.73
2024-08-15 15:02:43,22.64,12.58
2024-08-15 15:02:45,22.62,12.45
2024-08-15 15:02:47,22.63,12.36
2024-08-15 15:02:49,22.64,12.30
2024-08-15 15:02:51,22.64,12.25
2024-08-15 15:02:53,22.65,12.10
2024-08-15 15:02:55,22.64,11.97
2024-08-15 15:02:57,22.65,11.91
2024-08-15 15:02:59,22.65,11.87
2024-08-15 15:03:01,22.66,11.85
2024-08-15 15:03:03,22.64,11.85
2024-08-15 15:03:05,22.65,11.89
2024-08-15 15:03:07,22.64,11.87
2024-08-15 15:03:09,22.65,11.78
2024-08-15 15:03:12,22.66,11.70
2024-08-15 15:03:14,22.65,11.66
2024-08-15 15:03:16,22.62,11.63
2024-08-15 15:03:18,22.65,11.58
2024-08-15 15:03:20,22.65,11.54
2024-08-15 15:03:22,22.63,11.51
2024-08-15 15:03:24,22.63,11.67
2024-08-15 15:03:26,22.65,11.99
2024-08-15 15:03:28,22.65,12.29
2024-08-15 15:03:30,22.65,12.57
2024-08-15 15:03:32,22.65,12.75
2024-08-15 15:03:34,22.65,12.91
2024-08-15 15:03:36,22.66,13.02
2024-08-15 15:03:38,22.64,13.06
2024-08-15 15:03:40,22.65,13.10
2024-08-15 15:03:42,22.64,13.09
2024-08-15 15:03:44,22.65,13.07
2024-08-15 15:03:47,22.63,13.01
2024-08-15 15:03:49,22.65,12.87
2024-08-15 15:03:51,22.65,12.67
2024-08-15 15:03:53,22.64,12.57
2024-08-15 15:03:55,22.66,12.48
2024-08-15 15:03:57,22.64,12.43
2024-08-15 15:03:59,22.66,12.36
2024-08-15 15:04:01,22.65,12.33
2024-08-15 15:04:03,22.64,12.28
2024-08-15 15:04:05,22.66,12.27
2024-08-15 15:04:07,22.65,12.28
2024-08-15 15:04:09,22.64,12.32
2024-08-15 15:04:11,22.65,12.35
2024-08-15 15:04:13,22.64,12.35
2024-08-15 15:04:15,22.66,12.36
2024-08-15 15:04:17,22.64,12.34
2024-08-15 15:04:19,22.67,12.37
2024-08-15 15:04:22,22.67,12.53
2024-08-15 15:04:24,22.66,12.75
2024-08-15 15:04:26,22.67,12.97
2024-08-15 15:04:28,22.67,13.25
2024-08-15 15:04:30,22.67,13.47
2024-08-15 15:04:32,22.66,13.62
2024-08-15 15:04:34,22.66,14.74
2024-08-15 15:04:36,22.67,16.44
2024-08-15 15:04:38,22.67,16.89
2024-08-15 15:04:40,22.68,16.67
2024-08-15 15:04:42,22.67,16.28
2024-08-15 15:04:44,22.66,15.91
2024-08-15 15:04:46,22.64,15.56
2024-08-15 15:04:48,22.65,15.25
2024-08-15 15:04:50,22.66,14.95
2024-08-15 15:04:52,22.67,14.68
2024-08-15 15:04:54,22.65,14.46
2024-08-15 15:04:56,22.64,14.18
2024-08-15 15:04:59,22.66,13.96
2024-08-15 15:05:01,22.65,13.79
2024-08-15 15:05:03,22.65,13.57
2024-08-15 15:05:05,22.67,13.27
2024-08-15 15:05:07,22.65,13.08
2024-08-15 15:05:09,22.65,12.98
2024-08-15 15:05:11,22.66,12.95
2024-08-15 15:05:13,22.66,12.93
2024-08-15 15:05:15,22.66,12.92
2024-08-15 15:05:17,22.66,12.97
2024-08-15 15:05:19,22.66,13.32
2024-08-15 15:05:21,22.67,13.97
2024-08-15 15:05:23,22.66,14.70
2024-08-15 15:05:25,22.66,15.33
2024-08-15 15:05:27,22.66,15.81
2024-08-15 15:05:29,22.68,16.14
2024-08-15 15:05:31,22.65,16.41
2024-08-15 15:05:34,22.67,16.57
2024-08-15 15:05:36,22.67,16.65
2024-08-15 15:05:38,22.67,18.02
2024-08-15 15:05:40,22.68,19.78
2024-08-15 15:05:42,22.67,20.93
2024-08-15 15:05:44,22.68,21.61
2024-08-15 15:05:46,22.68,22.01
2024-08-15 15:05:48,22.68,23.19
2024-08-15 15:05:50,22.68,23.92
2024-08-15 15:05:52,22.68,22.87
2024-08-15 15:05:54,22.67,21.41
2024-08-15 15:05:56,22.69,20.10
2024-08-15 15:05:58,22.67,18.94
2024-08-15 15:06:00,22.67,18.02
2024-08-15 15:06:02,22.67,17.23
2024-08-15 15:06:04,22.66,16.54
2024-08-15 15:06:06,22.67,16.00
2024-08-15 15:06:08,22.67,15.50
2024-08-15 15:06:11,22.67,15.14
2024-08-15 15:06:13,22.66,14.83
2024-08-15 15:06:15,22.66,14.49
2024-08-15 15:06:17,22.67,14.40
2024-08-15 15:06:19,22.67,14.55
2024-08-15 15:06:21,22.69,14.83
2024-08-15 15:06:23,22.67,15.15
2024-08-15 15:06:25,22.67,15.38
2024-08-15 15:06:27,22.68,15.65
2024-08-15 15:06:29,22.68,18.58
2024-08-15 15:06:31,22.68,21.64
2024-08-15 15:06:33,22.67,23.43
2024-08-15 15:06:35,22.68,24.52
2024-08-15 15:06:37,22.68,25.13
2024-08-15 15:06:39,22.68,25.53
2024-08-15 15:06:41,22.69,25.75
2024-08-15 15:06:43,22.70,26.14
2024-08-15 15:06:46,22.70,27.97
2024-08-15 15:06:48,22.70,29.24
2024-08-15 15:06:50,22.72,29.88
2024-08-15 15:06:52,22.70,30.24
2024-08-15 15:06:54,22.70,30.53
2024-08-15 15:06:56,22.70,30.67
2024-08-15 15:06:58,22.70,30.81
2024-08-15 15:07:00,22.71,31.82
2024-08-15 15:07:02,22.71,30.43
2024-08-15 15:07:04,22.69,27.72
2024-08-15 15:07:06,22.71,25.32
2024-08-15 15:07:08,22.70,23.34
2024-08-15 15:07:10,22.70,21.82
2024-08-15 15:07:12,22.70,20.57
2024-08-15 15:07:14,22.68,19.66
2024-08-15 15:07:16,22.68,18.93
2024-08-15 15:07:18,22.69,18.41
2024-08-15 15:07:21,22.67,17.97
2024-08-15 15:07:23,22.68,17.64
2024-08-15 15:07:25,22.68,17.30
2024-08-15 15:07:27,22.67,17.53
2024-08-15 15:07:29,22.68,18.37
2024-08-15 15:07:31,22.69,19.43
2024-08-15 15:07:33,22.69,20.31
2024-08-15 15:07:35,22.69,20.93
2024-08-15 15:07:37,22.69,22.27
2024-08-15 15:07:39,22.70,26.69
2024-08-15 15:07:41,22.72,30.25
2024-08-15 15:07:43,22.71,32.21
2024-08-15 15:07:45,22.72,33.34
2024-08-15 15:07:47,22.71,33.94
2024-08-15 15:07:49,22.72,34.32
2024-08-15 15:07:51,22.73,34.88
2024-08-15 15:07:53,22.73,36.97
2024-08-15 15:07:56,22.74,38.24
2024-08-15 15:07:58,22.73,38.84
2024-08-15 15:08:00,22.74,39.14
2024-08-15 15:08:02,22.74,39.34
2024-08-15 15:08:04,22.73,39.49
2024-08-15 15:08:06,22.73,39.58
2024-08-15 15:08:08,22.72,39.98
2024-08-15 15:08:10,22.72,38.33
2024-08-15 15:08:12,22.74,34.66
2024-08-15 15:08:14,22.71,31.31
2024-08-15 15:08:16,22.71,28.74
2024-08-15 15:08:18,22.72,26.87
2024-08-15 15:08:20,22.71,25.51
2024-08-15 15:08:22,22.71,24.50
2024-08-15 15:08:24,22.70,23.74
2024-08-15 15:08:26,22.70,23.15
2024-08-15 15:08:28,22.69,22.65
2024-08-15 15:08:30,22.70,22.30
2024-08-15 15:08:33,22.69,22.21
2024-08-15 15:08:35,22.70,24.69
2024-08-15 15:08:37,22.71,27.79
2024-08-15 15:08:39,22.71,30.13
2024-08-15 15:08:41,22.71,31.59
2024-08-15 15:08:43,22.72,32.45
2024-08-15 15:08:45,22.71,33.01
2024-08-15 15:08:47,22.73,33.56
2024-08-15 15:08:49,22.73,37.94
2024-08-15 15:08:51,22.74,41.40
2024-08-15 15:08:53,22.73,43.12
2024-08-15 15:08:55,22.75,44.06
2024-08-15 15:08:57,22.75,44.52
2024-08-15 15:08:59,22.74,44.82
2024-08-15 15:09:01,22.75,44.90
2024-08-15 15:09:03,22.76,45.59
2024-08-15 15:09:05,22.75,46.45
2024-08-15 15:09:08,22.76,46.87
2024-08-15 15:09:10,22.76,47.13
2024-08-15 15:09:12,22.76,47.28
2024-08-15 15:09:14,22.75,47.41
2024-08-15 15:09:16,22.76,47.49
2024-08-15 15:09:18,22.76,47.87
2024-08-15 15:09:20,22.75,45.82
2024-08-15 15:09:22,22.75,41.66
2024-08-15 15:09:24,22.75,38.32
2024-08-15 15:09:26,22.73,36.09
2024-08-15 15:09:28,22.75,34.55
2024-08-15 15:09:30,22.75,33.40
2024-08-15 15:09:32,22.72,32.49
2024-08-15 15:09:34,22.72,31.83
2024-08-15 15:09:36,22.73,31.30
2024-08-15 15:09:38,22.73,30.91
2024-08-15 15:09:40,22.74,30.59
2024-08-15 15:09:43,22.72,30.37
2024-08-15 15:09:45,22.73,32.21
2024-08-15 15:09:47,22.73,36.50
2024-08-15 15:09:49,22.74,39.99
2024-08-15 15:09:51,22.74,42.50
2024-08-15 15:09:53,22.73,43.97
2024-08-15 15:09:55,22.72,44.89
2024-08-15 15:09:57,22.74,46.20
2024-08-15 15:09:59,22.76,50.64
2024-08-15 15:10:01,22.77,53.43
2024-08-15 15:10:03,22.77,54.90
2024-08-15 15:10:05,22.78,55.30
2024-08-15 15:10:07,22.77,55.53
2024-08-15 15:10:09,22.78,55.64
2024-08-15 15:10:11,22.77,55.77
2024-08-15 15:10:13,22.78,55.82
2024-08-15 15:10:15,22.79,55.86
2024-08-15 15:10:17,22.78,55.84
2024-08-15 15:10:20,22.79,56.31
2024-08-15 15:10:22,22.79,56.87
2024-08-15 15:10:24,22.77,57.16
2024-08-15 15:10:26,22.78,57.34
2024-08-15 15:10:28,22.79,57.37
2024-08-15 15:10:30,22.79,57.46
2024-08-15 15:10:32,22.78,57.52
2024-08-15 15:10:34,22.78,57.51
2024-08-15 15:10:36,22.78,57.23
2024-08-15 15:10:38,22.75,54.59
2024-08-15 15:10:40,22.76,51.61
2024-08-15 15:10:42,22.76,49.76
2024-08-15 15:10:44,22.75,49.35
2024-08-15 15:10:46,22.76,49.43
2024-08-15 15:10:48,22.74,49.59
2024-08-15 15:10:50,22.75,49.65
2024-08-15 15:10:52,22.75,49.79
2024-08-15 15:10:55,22.75,49.86
2024-08-15 15:10:57,22.75,49.97
2024-08-15 15:10:59,22.75,51.69
2024-08-15 15:11:01,22.77,53.93
2024-08-15 15:11:03,22.76,55.75
2024-08-15 15:11:05,22.77,56.99
2024-08-15 15:11:07,22.77,57.88
2024-08-15 15:11:09,22.77,58.54
2024-08-15 15:11:11,22.78,59.04
2024-08-15 15:11:13,22.78,60.42
2024-08-15 15:11:15,22.79,61.93
2024-08-15 15:11:17,22.78,62.81
2024-08-15 15:11:19,22.79,63.38
2024-08-15 15:11:21,22.80,63.70
2024-08-15 15:11:23,22.78,63.95
2024-08-15 15:11:25,22.79,64.15
2024-08-15 15:11:27,22.81,64.47
2024-08-15 15:11:29,22.80,64.84
2024-08-15 15:11:32,22.81,65.05
2024-08-15 15:11:34,22.80,65.21
2024-08-15 15:11:36,22.81,65.36
2024-08-15 15:11:38,22.82,65.41
2024-08-15 15:11:40,22.82,65.49
2024-08-15 15:11:42,22.79,65.47
2024-08-15 15:11:44,22.80,65.25
2024-08-15 15:11:46,22.78,64.00
2024-08-15 15:11:48,22.80,63.00
2024-08-15 15:11:50,22.80,62.99
2024-08-15 15:11:52,22.78,63.52
2024-08-15 15:11:54,22.80,64.15
2024-08-15 15:11:56,22.80,64.66
2024-08-15 15:11:58,22.79,65.02
2024-08-15 15:12:00,22.81,65.37
2024-08-15 15:12:02,22.81,65.65
2024-08-15 15:12:04,22.81,65.87
2024-08-15 15:12:07,22.79,66.11
2024-08-15 15:12:09,22.82,67.25
2024-08-15 15:12:11,22.81,68.54
2024-08-15 15:12:13,22.83,69.63
2024-08-15 15:12:15,22.84,70.49
2024-08-15 15:12:17,22.84,71.16
2024-08-15 15:12:19,22.85,71.64
2024-08-15 15:12:21,22.83,72.17
2024-08-15 15:12:23,22.85,72.78
2024-08-15 15:12:25,22.86,73.43
2024-08-15 15:12:27,22.87,73.91
2024-08-15 15:12:29,22.86,74.22
2024-08-15 15:12:31,22.87,74.40
2024-08-15 15:12:33,22.86,74.50
2024-08-15 15:12:35,22.87,74.64
2024-08-15 15:12:37,22.87,74.63
2024-08-15 15:12:39,22.86,74.30
2024-08-15 15:12:42,22.85,74.11
2024-08-15 15:12:44,22.86,73.97
2024-08-15 15:12:46,22.86,73.95
2024-08-15 15:12:48,22.86,73.93
2024-08-15 15:12:50,22.85,73.90
2024-08-15 15:12:52,22.83,73.87
2024-08-15 15:12:54,22.84,73.72
2024-08-15 15:12:56,22.84,73.48
2024-08-15 15:12:58,22.85,73.44
2024-08-15 15:13:00,22.83,73.86
2024-08-15 15:13:02,22.84,74.53
2024-08-15 15:13:04,22.85,75.18
2024-08-15 15:13:06,22.86,75.76
2024-08-15 15:13:08,22.87,76.24
2024-08-15 15:13:10,22.87,76.65
2024-08-15 15:13:12,22.85,76.98
2024-08-15 15:13:14,22.88,77.25
2024-08-15 15:13:17,22.86,77.50
2024-08-15 15:13:19,22.87,77.95
2024-08-15 15:13:21,22.86,78.30
2024-08-15 15:13:23,22.88,78.63
2024-08-15 15:13:25,22.86,78.83
2024-08-15 15:13:27,22.88,79.01
2024-08-15 15:13:29,22.88,79.14
2024-08-15 15:13:31,22.88,79.29
2024-08-15 15:13:33,22.89,79.53
2024-08-15 15:13:35,22.88,79.65
2024-08-15 15:13:37,22.88,79.69
2024-08-15 15:13:39,22.87,79.75
2024-08-15 15:13:41,22.86,79.80
2024-08-15 15:13:43,22.88,79.80
2024-08-15 15:13:45,22.89,79.83
2024-08-15 15:13:47,22.88,79.92
2024-08-15 15:13:49,22.88,79.83
2024-08-15 15:13:51,22.88,79.73
2024-08-15 15:13:54,22.86,79.61
2024-08-15 15:13:56,22.86,79.53
2024-08-15 15:13:58,22.87,79.47
2024-08-15 15:14:00,22.86,79.47
2024-08-15 15:14:02,22.86,79.23
2024-08-15 15:14:04,22.87,79.15
2024-08-15 15:14:06,22.85,79.25
2024-08-15 15:14:08,22.85,79.44
2024-08-15 15:14:10,22.86,79.73
2024-08-15 15:14:12,22.85,79.95
2024-08-15 15:14:14,22.86,80.19
2024-08-15 15:14:16,22.87,80.36
2024-08-15 15:14:18,22.86,80.51
2024-08-15 15:14:20,22.87,80.66
2024-08-15 15:14:22,22.88,80.75
2024-08-15 15:14:24,22.88,80.84
2024-08-15 15:14:26,22.87,80.91
2024-08-15 15:14:29,22.86,80.96
2024-08-15 15:14:31,22.87,81.10
2024-08-15 15:14:33,22.87,81.17
2024-08-15 15:14:35,22.88,81.17
2024-08-15 15:14:37,22.86,81.14
2024-08-15 15:14:39,22.87,81.11
2024-08-15 15:14:41,22.87,81.06
2024-08-15 15:14:43,22.87,81.15
2024-08-15 15:14:45,22.86,81.11
2024-08-15 15:14:47,22.85,81.04
2024-08-15 15:14:49,22.87,80.97
2024-08-15 15:14:51,22.86,80.92
2024-08-15 15:14:53,22.85,80.90
2024-08-15 15:14:55,22.87,80.89
2024-08-15 15:14:57,22.86,80.92
2024-08-15 15:14:59,22.86,80.76
2024-08-15 15:15:01,22.85,80.53
2024-08-15 15:15:03,22.86,80.38
2024-08-15 15:15:06,22.84,80.32
2024-08-15 15:15:08,22.86,80.25
2024-08-15 15:15:10,22.84,80.18
2024-08-15 15:15:12,22.83,80.01
2024-08-15 15:15:14,22.85,79.77
2024-08-15 15:15:16,22.83,79.64
2024-08-15 15:15:18,22.83,79.58
2024-08-15 15:15:20,22.84,79.53
2024-08-15 15:15:22,22.83,79.44
2024-08-15 15:15:24,22.82,79.40
2024-08-15 15:15:26,22.81,79.30
